Country,Rank,population_total,manpower_available,manpower_fit_for_service,manpower_reaching_age_annually,manpower_active,manpower_reserve_active,manpower_paramilitary,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports,labor_force,major_ports_and_terminals,railway,roadway,oil_production,oil_consumption,proven_oil_reserves,natural_gas_production,natural_gas_consumption,proven_natural_gas_reserves,coal_production,coal_consumption,proven_coal_reserves,square_land_area,coastline,border,waterway
United States,1,341963408.0,150463900.0,124816644.0,4445524.0,1333030.0,799500.0,0.0,13032.0,1791.0,926.0,917.0,2610.0,611.0,610.0,5913.0,1024.0,4666.0,409660.0,1521.0,1878.0,1731.0,465.0,11.0,9.0,66.0,83.0,0.0,27.0,0.0,4.0,831500000000.0,24538900710000.0,25676000000000.0,910037000000.0,16116.0,174174000.0,666.0,293564.0,6586610.0,20953000.0,20307000.0,38212000000.0,1029000000000.0,914301000000.0,13402000000000.0,534234000.0,495156000.0,247883000000.0,9833517.0,19924.0,12002.0,41009.0
Russia,2,140820810.0,69002197.0,46189226.0,1267387.0,1320000.0,2000000.0,250000.0,4237.0,861.0,698.0,458.0,530.0,137.0,18.0,1643.0,556.0,5630.0,126512.0,3603.0,5920.0,2486.0,747.0,1.0,0.0,66.0,13.0,12.0,79.0,70.0,45.0,212638272000.0,226475750000.0,6089000000000.0,597217000000.0,905.0,72517000.0,67.0,85494.0,1283387.0,10879000.0,3863000.0,80000000000.0,617830000000.0,472239000000.0,47805000000000.0,531130000.0,290763000.0,162166000000.0,17098242.0,37653.0,22407.0,102000.0
China,3,1415043270.0,764123366.0,626864169.0,19810606.0,2035000.0,510000.0,625000.0,3529.0,1443.0,371.0,287.0,401.0,105.0,9.0,1007.0,281.0,5870.0,152040.0,2940.0,1400.0,2770.0,841.0,3.0,4.0,61.0,53.0,46.0,50.0,150.0,36.0,303000000000.0,488114000000.0,33598000000000.0,3456000000000.0,552.0,773880000.0,66.0,150000.0,5200000.0,4984000.0,16189000.0,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4805000000.0,5191000000.0,157041000000.0,9596960.0,14500.0,22457.0,27700.0
India,4,1409128296.0,662290299.0,522786598.0,23955181.0,1431000.0,1000000.0,2527000.0,2183.0,476.0,124.0,277.0,334.0,72.0,6.0,594.0,79.0,3913.0,163554.0,100.0,5640.0,300.0,343.0,2.0,0.0,18.0,13.0,18.0,21.0,146.0,0.0,109000000000.0,212728000000.0,14244000000000.0,643043000000.0,315.0,607691000.0,56.0,65554.0,6371847.0,822000.0,5271000.0,4605000000.0,33170000000.0,58867000000.0,1381000000000.0,1020000000.0,1262000000.0,127727000000.0,3287263.0,7000.0,13888.0,14500.0
South Korea,5,52081799.0,26040900.0,21353538.0,416654.0,450000.0,3100000.0,120000.0,1540.0,242.0,98.0,40.0,335.0,35.0,4.0,827.0,113.0,1831.0,117460.0,2780.0,5800.0,525.0,215.0,0.0,2.0,22.0,14.0,18.0,3.0,96.0,14.0,44800000000.0,553871450000.0,2607000000000.0,418219000000.0,92.0,29713000.0,15.0,3979.0,100428.0,38000.0,2542000.0,0.0,55127000.0,59480000000.0,7079000000.0,16081000.0,136817000.0,326000000.0,99720.0,2413.0,237.0,1600.0
France,6,68374591.0,30084820.0,23794358.0,752121.0,264000.0,43444.0,150000.0,974.0,223.0,0.0,118.0,140.0,44.0,15.0,452.0,67.0,427.0,110784.0,74.0,0.0,9.0,166.0,1.0,3.0,9.0,11.0,5.0,0.0,22.0,19.0,67232395000.0,7691315390000.0,3732000000000.0,282857000000.0,1218.0,31725000.0,66.0,27860.0,1053215.0,80000.0,1536000.0,61719000.0,20132000.0,37001000000.0,7787000000.0,2157000.0,12570000.0,160000000.0,643801.0,4853.0,4072.0,8501.0
Japan,7,123201945.0,52976836.0,42874277.0,1108818.0,251500.0,56000.0,25000.0,1429.0,217.0,47.0,53.0,399.0,135.0,10.0,583.0,118.0,734.0,54390.0,193.0,480.0,99.0,158.0,0.0,4.0,23.0,41.0,8.0,0.0,6.0,18.0,58000000000.0,5147667910000.0,5715000000000.0,1231000000000.0,280.0,69382000.0,163.0,27311.0,1218772.0,8000.0,3140000.0,44115000.0,2220000000.0,92843000000.0,20898000000.0,27657000.0,197612000.0,350000000.0,377915.0,29751.0,0.0,1770.0
United Kingdom,8,68459055.0,31491165.0,25192932.0,753050.0,141330.0,31940.0,0.0,625.0,103.0,38.0,30.0,201.0,29.0,9.0,262.0,50.0,288.0,94064.0,14.0,126.0,43.0,116.0,2.0,0.0,10.0,6.0,7.0,0.0,26.0,8.0,88526529585.0,10553123900000.0,3636000000000.0,174598000000.0,1057.0,35359000.0,185.0,16390.0,416461.0,753000.0,1406000.0,2500000000.0,37758000000.0,70141000000.0,180661000000.0,1568000.0,7372000.0,26000000.0,243610.0,12429.0,499.0,3200.0
Turkiye,9,84119531.0,42985080.0,36087279.0,1430032.0,481000.0,380000.0,150000.0,1101.0,201.0,0.0,84.0,301.0,27.0,7.0,509.0,111.0,2284.0,98193.0,1045.0,635.0,237.0,192.0,0.0,1.0,14.0,0.0,17.0,9.0,40.0,11.0,51400000000.0,149654000000.0,3018000000000.0,154744000000.0,116.0,36081000.0,54.0,11497.0,68526.0,83000.0,1107000.0,366000000.0,379701000.0,52887000000.0,3794000000.0,82534000.0,124183000.0,10975000000.0,783562.0,7200.0,2816.0,1200.0
Italy,10,60964931.0,27434219.0,22191235.0,548684.0,165500.0,18300.0,105000.0,714.0,88.0,65.0,31.0,152.0,22.0,8.0,352.0,37.0,203.0,87364.0,64.0,108.0,21.0,285.0,2.0,0.0,8.0,3.0,14.0,0.0,15.0,10.0,37325165000.0,3025000000000.0,3133000000000.0,290547000000.0,655.0,25828000.0,123.0,18475.0,228863.0,111000.0,1245000.0,497934000.0,3117000000.0,68735000000.0,45750000000.0,1572000.0,12424000.0,609999000.0,301340.0,7600.0,1836.0,2400.0
Brazil,11,220051512.0,112226271.0,88680759.0,3520824.0,376000.0,1340000.0,200000.0,495.0,44.0,30.0,107.0,124.0,25.0,0.0,186.0,0.0,294.0,22464.0,149.0,412.0,82.0,69.0,0.0,1.0,6.0,0.0,8.0,2.0,22.0,4.0,26400000000.0,198582000000.0,4165000000000.0,329732000000.0,5297.0,106790000.0,45.0,29850.0,2000000.0,4221000.0,3163000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15556000.0,32223000.0,6596000000.0,8515770.0,7491.0,16145.0,50000.0
Germany,12,84119100.0,38694786.0,30955829.0,841191.0,184324.0,860000.0,0.0,569.0,127.0,63.0,55.0,16.0,27.0,3.0,292.0,49.0,296.0,87338.0,134.0,0.0,33.0,96.0,0.0,0.0,6.0,0.0,11.0,6.0,54.0,12.0,127400090000.0,6862470230000.0,5247000000000.0,377936000000.0,840.0,43772000.0,35.0,39379.0,830000.0,131000.0,2062000.0,115200000.0,4824000000.0,77516000000.0,23390000000.0,109741000.0,140994000.0,35400000000.0,357022.0,2389.0,3694.0,7300.0
Indonesia,13,281562465.0,137965608.0,114595923.0,4786562.0,404500.0,401000.0,250000.0,460.0,41.0,34.0,73.0,114.0,15.0,1.0,212.0,15.0,331.0,28064.0,153.0,396.0,67.0,338.0,0.0,0.0,4.0,0.0,10.0,26.0,211.0,10.0,11155297716.0,225273000000.0,4102000000000.0,155708000000.0,556.0,143144000.0,123.0,8159.0,496607.0,865000.0,1645000.0,2480000000.0,57410000000.0,36061000000.0,1408000000000.0,783453000.0,281159000.0,35055000000.0,1904569.0,54716.0,2958.0,21579.0
Pakistan,14,252363571.0,108516336.0,85803614.0,4794908.0,660000.0,550000.0,500000.0,1397.0,331.0,90.0,63.0,563.0,27.0,4.0,379.0,55.0,2677.0,59044.0,662.0,2629.0,652.0,120.0,0.0,0.0,8.0,0.0,9.0,6.0,79.0,3.0,9102115350.0,89148000000.0,1390000000000.0,18408000000.0,117.0,83644000.0,3.0,11881.0,264175.0,91000.0,645000.0,540000000.0,36937000000.0,46448000000.0,592219000000.0,13765000.0,30191000.0,2857000000.0,796095.0,1046.0,7257.0,0.0
Israel,15,9402617.0,3949099.0,3281513.0,131637.0,169500.0,465000.0,35000.0,597.0,239.0,45.0,14.0,148.0,19.0,13.0,127.0,48.0,1300.0,62380.0,323.0,171.0,228.0,82.0,0.0,0.0,6.0,0.0,0.0,7.0,66.0,0.0,34600000000.0,163350000000.0,472177000000.0,214544000000.0,40.0,4710000.0,5.0,1497.0,20391.0,15000.0,219000.0,12730000.0,22886000000.0,11510000000.0,176018000000.0,0.0,5297000.0,0.0,21937.0,273.0,1068.0,0.0
Iran,16,88386937.0,49496685.0,41541860.0,1414191.0,610000.0,350000.0,220000.0,551.0,188.0,21.0,86.0,103.0,10.0,6.0,129.0,13.0,2675.0,75939.0,424.0,1803.0,1550.0,109.0,0.0,0.0,25.0,0.0,7.0,3.0,21.0,1.0,9230000000.0,6759000000.0,1486000000000.0,120600000000.0,177.0,28575000.0,18.0,8484.0,223485.0,4112000.0,2415000.0,208600000000.0,263280000000.0,244890000000.0,33987000000000.0,2209000.0,3032000.0,1203000000.0,1648195.0,2440.0,5894.0,850.0
Australia,17,26768598.0,11242811.0,9208398.0,294455.0,58910.0,33270.0,0.0,348.0,24.0,71.0,37.0,107.0,31.0,6.0,72.0,22.0,46.0,17118.0,0.0,48.0,8.0,45.0,0.0,2.0,6.0,3.0,7.0,0.0,13.0,3.0,57350000000.0,3770254730000.0,1635000000000.0,60404000000.0,2257.0,14912000.0,66.0,32606.0,873573.0,386000.0,1151000.0,2446000000.0,153783000000.0,50188000000.0,3228000000000.0,445077000.0,95667000.0,149472000000.0,7741220.0,25760.0,0.0,2000.0
Spain,18,47280433.0,21748999.0,17635602.0,330963.0,121802.0,24033.0,78470.0,440.0,136.0,12.0,51.0,108.0,8.0,0.0,169.0,17.0,298.0,49324.0,96.0,188.0,0.0,175.0,1.0,0.0,2.0,0.0,11.0,0.0,112.0,6.0,39000676350.0,2830012130000.0,2361000000000.0,107774000000.0,365.0,24386000.0,52.0,15489.0,150110.0,47000.0,1325000.0,150000000.0,41009000.0,32833000000.0,2549000000.0,1280000.0,7388000.0,1187000000.0,505370.0,4964.0,1953.0,1000.0
Egypt,19,111247248.0,45611372.0,38269053.0,1668709.0,438500.0,479000.0,300000.0,1088.0,242.0,90.0,53.0,344.0,11.0,0.0,348.0,100.0,3620.0,54694.0,1056.0,962.0,648.0,149.0,0.0,2.0,8.0,0.0,13.0,7.0,61.0,17.0,5193500000.0,117272000000.0,1958000000000.0,44921000000.0,73.0,33749000.0,31.0,5085.0,65050.0,667000.0,830000.0,3300000000.0,64817000000.0,60089000000.0,1784000000000.0,69000.0,3262000.0,182000000.0,1001450.0,2450.0,2612.0,3500.0
Ukraine,20,35661826.0,18187531.0,12731272.0,392280.0,900000.0,4000000.0,100000.0,347.0,88.0,30.0,22.0,72.0,5.0,0.0,140.0,39.0,1121.0,45458.0,682.0,625.0,288.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,5.0,45000000000.0,90003000000.0,577583000000.0,43781000000.0,152.0,20539000.0,26.0,21733.0,169694.0,3000.0,192000.0,395000000.0,18725000000.0,22856000000.0,1104000000000.0,19603000.0,25012000.0,34375000000.0,603550.0,2782.0,5581.0,1672.0
Poland,21,38746310.0,18985692.0,15576017.0,464956.0,250000.0,350000.0,50000.0,457.0,58.0,12.0,44.0,112.0,11.0,0.0,224.0,29.0,798.0,57972.0,593.0,0.0,298.0,63.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,29.0,55865141600.0,425641700000.0,1649000000000.0,223115000000.0,318.0,18245000.0,10.0,19461.0,427580.0,24000.0,743000.0,113000000.0,5551000000.0,20056000000.0,91492000000.0,96720000.0,99932000.0,27758000000.0,312685.0,440.0,2845.0,3997.0
Taiwan,22,23595274.0,12269542.0,1061787.0,306739.0,230000.0,1657000.0,55000.0,720.0,258.0,0.0,19.0,215.0,18.0,0.0,239.0,91.0,1090.0,24067.0,488.0,1360.0,223.0,91.0,0.0,0.0,4.0,4.0,21.0,7.0,36.0,10.0,31180000000.0,229900000000.0,1743000000000.0,541898500000.0,57.0,11842940.0,8.0,1613.0,43206.0,800.0,954000.0,2380000.0,63747000.0,21157000000.0,6230000000.0,5212000.0,64609000.0,1000000.0,35980.0,1566.0,0.0,0.0
Vietnam,23,105758975.0,54994667.0,45053323.0,1797903.0,450000.0,5000000.0,250000.0,265.0,61.0,0.0,6.0,91.0,3.0,0.0,101.0,0.0,1999.0,69914.0,30.0,3250.0,774.0,116.0,0.0,0.0,6.0,0.0,9.0,17.0,27.0,8.0,10200000000.0,34426000000.0,1456000000000.0,83082000000.0,36.0,57133000.0,16.0,2600.0,195468.0,187000.0,544000.0,4400000000.0,7676000000.0,7676000000.0,699426000000.0,51519000.0,96099000.0,3116000000.0,331210.0,3444.0,4616.0,47130.0
Thailand,24,69920998.0,36358919.0,27968399.0,1118736.0,360850.0,200000.0,25000.0,496.0,73.0,26.0,52.0,134.0,25.0,0.0,258.0,7.0,744.0,52590.0,59.0,595.0,17.0,304.0,0.0,1.0,0.0,0.0,7.0,5.0,254.0,5.0,6006660000.0,37065000000.0,1558000000000.0,236934000000.0,105.0,40623000.0,21.0,4127.0,180053.0,386000.0,1397000.0,252750000.0,30797000000.0,48898000000.0,138243000000.0,12812000.0,42371000.0,1063000000.0,513120.0,3219.0,5673.0,4000.0
Saudi Arabia,25,36544431.0,19003104.0,17468238.0,621255.0,247000.0,0.0,150000.0,917.0,283.0,81.0,49.0,202.0,16.0,22.0,264.0,34.0,1085.0,22370.0,380.0,557.0,327.0,32.0,0.0,0.0,0.0,0.0,7.0,9.0,9.0,3.0,63988055520.0,248171000000.0,2213000000000.0,463870000000.0,90.0,17168000.0,16.0,5410.0,221372.0,11174000.0,3524000.0,258600000000.0,121870000000.0,121870000000.0,9423000000000.0,0.0,66000.0,0.0,2149690.0,2640.0,4272.0,0.0
Sweden,26,10589835.0,4235934.0,3558185.0,105898.0,25600.0,34000.0,104400.0,172.0,73.0,0.0,6.0,36.0,3.0,1.0,53.0,0.0,110.0,27576.0,24.0,0.0,0.0,279.0,0.0,0.0,4.0,0.0,0.0,7.0,116.0,8.0,15900000000.0,1102693570000.0,668628000000.0,62569000000.0,206.0,5699000.0,92.0,10910.0,197964.0,11000.0,270000.0,0.0,0.0,889924000.0,0.0,1042000.0,3170000.0,5000000.0,450295.0,3218.0,2211.0,2052.0
Algeria,27,47022473.0,22570787.0,19185169.0,752360.0,130000.0,150000.0,150000.0,620.0,111.0,42.0,63.0,90.0,10.0,4.0,300.0,74.0,1485.0,24920.0,224.0,483.0,188.0,111.0,0.0,0.0,6.0,0.0,8.0,8.0,75.0,3.0,25000000000.0,4764000000.0,722912000000.0,83007000000.0,95.0,13294000.0,17.0,4020.0,112696.0,1443000.0,446000.0,12200000000.0,100726000000.0,47963000000.0,4504000000000.0,0.0,3000.0,233000000.0,2381740.0,998.0,6734.0,0.0
Canada,28,38794813.0,16681770.0,13500595.0,426743.0,63500.0,23000.0,5500.0,354.0,66.0,0.0,29.0,95.0,34.0,6.0,146.0,0.0,74.0,21780.0,0.0,0.0,0.0,67.0,0.0,0.0,4.0,0.0,12.0,0.0,17.0,0.0,45824959620.0,2571113270000.0,2341000000000.0,119778000000.0,1425.0,22868000.0,284.0,49422.0,1042300.0,5688000.0,2377000.0,170300000000.0,187686000000.0,130316000000.0,2067126000000.0,50687000.0,20092000.0,6582000000.0,9984670.0,202080.0,8893.0,636.0
Singapore,29,6028459.0,3918498.0,2628408.0,66313.0,51000.0,252500.0,12000.0,235.0,100.0,0.0,9.0,36.0,9.0,11.0,75.0,20.0,170.0,17244.0,48.0,89.0,24.0,101.0,0.0,0.0,6.0,0.0,6.0,6.0,55.0,4.0,18000000000.0,1884751660000.0,800304000000.0,383946000000.0,9.0,3722000.0,5.0,0.0,3500.0,0.0,1514000.0,0.0,0.0,13724000000.0,0.0,0.0,1153000.0,0.0,719.0,193.0,0.0,0.0
Greece,30,10461091.0,4916713.0,3985676.0,104611.0,142700.0,221350.0,55000.0,560.0,178.0,0.0,17.0,86.0,8.0,0.0,285.0,28.0,1344.0,56416.0,589.0,698.0,152.0,186.0,0.0,0.0,9.0,0.0,14.0,0.0,45.0,3.0,8242150000.0,605000000000.0,192205000000.0,15222000000.0,82.0,4655000.0,57.0,2345.0,117000.0,5000.0,308000.0,10000000.0,3284000.0,5173000000.0,991090000.0,10469000.0,10091000.0,2876000000.0,131957.0,13676.0,1110.0,6.0
North Korea,31,26298666.0,9467520.0,5312331.0,420779.0,1320000.0,560000.0,100000.0,837.0,341.0,114.0,1.0,176.0,0.0,0.0,205.0,20.0,4895.0,47792.0,1300.0,700.0,1500.0,332.0,0.0,0.0,24.0,2.0,2.0,8.0,227.0,1.0,4750000000.0,6050000000.0,15416000000.0,5500000000.0,81.0,17637000.0,10.0,7435.0,25554.0,0.0,18000.0,0.0,0.0,0.0,0.0,21927000.0,22105000.0,10600000000.0,120538.0,2495.0,1607.0,2250.0
Argentina,32,46994384.0,20677529.0,17575900.0,704916.0,108000.0,12370.0,20000.0,241.0,23.0,11.0,25.0,71.0,13.0,2.0,96.0,0.0,362.0,22432.0,20.0,172.0,27.0,42.0,0.0,0.0,2.0,3.0,0.0,6.0,13.0,0.0,993919790.0,74362000000.0,1213000000000.0,29560000000.0,764.0,22286000.0,37.0,17866.0,240000.0,807000.0,749000.0,2483000000.0,43280000000.0,46228000000.0,396464000000.0,869000.0,2534000.0,799999000.0,2780400.0,4989.0,11968.0,11000.0
Nigeria,33,236747130.0,125475979.0,90437404.0,4261448.0,230000.0,0.0,50000.0,159.0,14.0,24.0,12.0,28.0,12.0,0.0,69.0,15.0,330.0,12219.0,40.0,339.0,37.0,152.0,0.0,0.0,0.0,0.0,1.0,0.0,132.0,2.0,3900000000.0,45009000000.0,1318000000000.0,38612000000.0,50.0,113350000.0,28.0,3798.0,195000.0,1541000.0,527000.0,36890000000.0,39951000000.0,20719000000.0,5761000000000.0,1322000.0,1326000.0,2144000000.0,923768.0,853.0,4477.0,8600.0
Netherlands,34,17772378.0,7997570.0,6486918.0,195496.0,44245.0,8510.0,5000.0,130.0,0.0,38.0,4.0,21.0,0.0,0.0,67.0,16.0,18.0,6689.0,46.0,0.0,4.0,140.0,0.0,0.0,3.0,0.0,6.0,0.0,76.0,3.0,31791150000.0,5257949730000.0,1276000000000.0,79129000000.0,44.0,10315000.0,18.0,3055.0,139027.0,70000.0,840000.0,137747000.0,17774000000.0,33243000000.0,132608000000.0,1761000.0,12796000.0,3247000000.0,41543.0,451.0,1053.0,6237.0
Myanmar,35,57527139.0,30489384.0,21975367.0,1035489.0,228000.0,19000.0,55000.0,331.0,70.0,20.0,33.0,120.0,5.0,0.0,86.0,9.0,1040.0,11576.0,225.0,1680.0,1520.0,239.0,0.0,0.0,3.0,0.0,6.0,3.0,146.0,2.0,2815031361.0,8748000000.0,287559000000.0,8590400000.0,74.0,22742000.0,7.0,5031.0,157000.0,7000.0,122000.0,139000000.0,16780000000.0,3788000000.0,637129000000.0,1031000.0,907000.0,252000000.0,676578.0,1930.0,6522.0,12800.0
Mexico,36,130739927.0,61447766.0,49811912.0,2222579.0,387000.0,98653.0,120000.0,424.0,2.0,32.0,40.0,175.0,25.0,0.0,173.0,0.0,0.0,23548.0,35.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,1.0,3.0,142.0,0.0,9100000000.0,306308000000.0,2883000000000.0,232035000000.0,1580.0,60959000.0,35.0,23389.0,704884.0,2101000.0,1741000.0,5786000000.0,31422000000.0,90566000000.0,180322000000.0,6296000.0,15132000.0,1160000000.0,1964375.0,9330.0,4389.0,2900.0
Bangladesh,37,168697184.0,82661620.0,66129296.0,3205246.0,204000.0,0.0,6800000.0,212.0,41.0,0.0,17.0,83.0,4.0,0.0,67.0,0.0,320.0,11584.0,36.0,487.0,103.0,121.0,0.0,0.0,2.0,0.0,7.0,6.0,61.0,5.0,3340000000.0,58020000000.0,1473000000000.0,21395000000.0,17.0,77355000.0,2.0,2460.0,369105.0,13000.0,263000.0,28000000.0,24620000000.0,30384000000.0,126293000000.0,767000.0,14050000.0,3260000000.0,148460.0,580.0,4413.0,8370.0
Portugal,38,10639726.0,5319863.0,4096295.0,127677.0,25000.0,23500.0,23300.0,128.0,28.0,5.0,20.0,23.0,16.0,4.0,36.0,0.0,34.0,10419.0,23.0,54.0,0.0,128.0,0.0,0.0,2.0,0.0,5.0,2.0,71.0,0.0,6760000000.0,530000000000.0,556942000000.0,55160000000.0,136.0,5332100.0,36.0,3622.0,136635.0,12932.0,200000.0,22440000.0,0.0,3700000000.0,72000000000.0,0.0,0.0,40000000.0,92090.0,1793.0,1224.0,764.0
Norway,39,5509733.0,2203893.0,1807192.0,71627.0,33440.0,20100.0,40500.0,109.0,0.0,43.0,4.0,23.0,5.0,0.0,34.0,0.0,36.0,11441.0,28.0,0.0,0.0,48.0,0.0,0.0,6.0,0.0,4.0,6.0,20.0,5.0,11189483200.0,787758400000.0,507680000000.0,81242000000.0,146.0,3042000.0,141.0,3848.0,95120.0,2020000.0,229000.0,8122200000.0,123727000000.0,4548000000.0,1544455000000.0,120000.0,1096000.0,2000000.0,323802.0,25148.0,2566.0,1577.0
South Africa,40,60442647.0,27803618.0,14989776.0,1027525.0,68731.0,29350.0,50000.0,181.0,2.0,0.0,11.0,81.0,0.0,0.0,87.0,10.0,248.0,23024.0,52.0,434.0,201.0,63.0,0.0,0.0,3.0,0.0,4.0,0.0,42.0,4.0,2877000000.0,93879000000.0,870420000000.0,65435000000.0,573.0,27766000.0,8.0,30400.0,750000.0,88000.0,609000.0,15000000.0,59128000.0,4487000000.0,0.0,239712000.0,176095000.0,9893000000.0,1219090.0,2798.0,5244.0,0.0
Philippines,41,118277063.0,50859137.0,41751803.0,2128987.0,160000.0,1500000.0,35000.0,204.0,0.0,17.0,23.0,23.0,11.0,0.0,130.0,6.0,18.0,20551.0,12.0,296.0,0.0,127.0,0.0,0.0,0.0,0.0,4.0,1.0,60.0,0.0,6571641011.0,63241000000.0,1202000000000.0,106195000000.0,256.0,50979000.0,70.0,77.0,216387.0,10000.0,457000.0,138500000.0,2251000000.0,2251000000.0,98543000000.0,14457000.0,42859000.0,361000000.0,300000.0,36289.0,0.0,3219.0
Malaysia,42,34564810.0,16245461.0,13480276.0,553037.0,113000.0,51600.0,100000.0,132.0,25.0,11.0,15.0,31.0,6.0,4.0,45.0,0.0,48.0,15415.0,0.0,196.0,36.0,100.0,0.0,0.0,2.0,0.0,2.0,4.0,72.0,4.0,5100000000.0,8748000000.0,1212000000000.0,116229000000.0,100.0,18264000.0,35.0,1851.0,144403.0,582000.0,672000.0,3600000000.0,75456000000.0,42499000000.0,1189000000000.0,4476000.0,35741000.0,226000000.0,329847.0,4675.0,2742.0,7200.0
Colombia,43,49588357.0,24298295.0,19190694.0,843002.0,429000.0,998000.0,150000.0,430.0,16.0,24.0,82.0,72.0,27.0,1.0,255.0,0.0,0.0,12780.0,6.0,110.0,0.0,213.0,0.0,0.0,4.0,0.0,9.0,2.0,158.0,0.0,15800000000.0,108027000000.0,978024000000.0,61898000000.0,661.0,26822000.0,14.0,2141.0,206102.0,800000.0,374000.0,2036000000.0,11290000000.0,11451000000.0,87782000000.0,52376000.0,9720000.0,4554000000.0,1138910.0,3208.0,6672.0,24725.0
Iraq,44,42083436.0,17675043.0,14308368.0,715418.0,193000.0,0.0,100000.0,360.0,26.0,36.0,15.0,111.0,17.0,0.0,183.0,39.0,1188.0,37496.0,434.0,610.0,572.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,8000000000.0,15580000000.0,585887000000.0,100691000000.0,73.0,12008000.0,6.0,2272.0,59623.0,4448000.0,1043000.0,145019000000.0,9860000000.0,19298000000.0,3729000000000.0,0.0,0.0,0.0,438317.0,58.0,3809.0,5279.0
Denmark,45,5973136.0,2628180.0,2126436.0,77651.0,21000.0,12000.0,51000.0,122.0,26.0,19.0,4.0,36.0,3.0,0.0,34.0,0.0,44.0,5930.0,19.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,6.0,14250000000.0,611050000000.0,440558000000.0,108405000000.0,102.0,3210000.0,69.0,2682.0,73591.0,63000.0,151000.0,441000000.0,1879000000.0,2208000000.0,29534000000.0,0.0,1135000.0,0.0,43094.0,7314.0,140.0,400.0
Switzerland,46,8860574.0,3898653.0,3163225.0,97466.0,147178.0,0.0,5000.0,141.0,40.0,0.0,16.0,43.0,3.0,0.0,39.0,0.0,134.0,6885.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8372658426.0,2420000000000.0,741035000000.0,909366000000.0,66.0,5153000.0,0.0,5296.0,83131.0,300.0,194000.0,0.0,0.0,3138000000.0,0.0,0.0,126000.0,0.0,41277.0,0.0,1770.0,1292.0
Ethiopia,47,118550298.0,56904143.0,35327989.0,2726657.0,503000.0,138000.0,0.0,104.0,25.0,0.0,9.0,34.0,0.0,0.0,33.0,7.0,338.0,8586.0,142.0,469.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720968976.0,25426000000.0,380895000000.0,3784000000.0,58.0,54470000.0,0.0,659.0,180000.0,0.0,102000.0,428000.0,0.0,0.0,24919000000.0,456000.0,1653000.0,0.0,1104300.0,0.0,5925.0,0.0
Finland,48,5626414.0,2306830.0,1912981.0,56264.0,24000.0,870000.0,53800.0,162.0,53.0,0.0,11.0,77.0,1.0,0.0,27.0,0.0,200.0,14866.0,125.0,667.0,76.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,8890000000.0,726000000000.0,313591000000.0,17993000000.0,98.0,2898000.0,37.0,5918.0,108637.0,8000.0,175000.0,0.0,0.0,1157000000.0,0.0,811000.0,3933000.0,0.0,338145.0,1250.0,2563.0,8000.0
Chile,49,18664652.0,8959033.0,7521855.0,298634.0,80000.0,40000.0,50000.0,274.0,45.0,0.0,33.0,92.0,18.0,5.0,86.0,0.0,386.0,7480.0,48.0,249.0,9.0,130.0,0.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,6800000000.0,235950000000.0,596556000000.0,44403000000.0,379.0,10088000.0,39.0,7282.0,77801.0,11000.0,404000.0,150000000.0,1200000000.0,6916000000.0,97976000000.0,474000.0,8087000.0,1181000000.0,756102.0,6435.0,7801.0,12290.0
Peru,50,32600249.0,15648120.0,12681497.0,619405.0,120000.0,386000.0,60000.0,252.0,15.0,22.0,39.0,68.0,12.0,0.0,112.0,16.0,355.0,9168.0,12.0,290.0,61.0,78.0,0.0,0.0,6.0,0.0,7.0,8.0,13.0,0.0,2552000000.0,38102000000.0,535911000000.0,79246000000.0,174.0,18918000.0,20.0,1855.0,70000.0,118000.0,255000.0,858890000.0,12270000000.0,7185000000.0,300159000000.0,1382000.0,973000.0,1567000000.0,1285216.0,2414.0,7062.0,8808.0
