Country,region,continent,alliance,metric,value
Austria,Central Europe,Europe,Non-NATO,fighter_aircraft,15
Sri Lanka,Asia-Pacific,Asia,Non-NATO,fighter_aircraft,5
Belarus,Eastern Europe,Europe,Non-NATO,fighter_aircraft,36
Slovakia,Eastern Europe,Europe,NATO,fighter_aircraft,2
Qatar,Middle East,Asia,Non-NATO,fighter_aircraft,102
Sudan,Africa,Africa,Non-NATO,fighter_aircraft,37
Croatia,Balkans,Europe,NATO,fighter_aircraft,10
Jordan,Middle East,Asia,Non-NATO,fighter_aircraft,44
Libya,Africa,Africa,Non-NATO,fighter_aircraft,10
Turkmenistan,Asia,Asia,Non-NATO,fighter_aircraft,24
Albania,Balkans,Europe,NATO,fighter_aircraft,0
Kuwait,Gulf Powers,Asia,Non-NATO,fighter_aircraft,43
Bolivia,Latin America,South America,Non-NATO,fighter_aircraft,0
Bahrain,Gulf Powers,Asia,Non-NATO,fighter_aircraft,24
Oman,Gulf Powers,Asia,Non-NATO,fighter_aircraft,29
Kenya,Africa,Africa,Non-NATO,fighter_aircraft,17
Chad,Africa,Africa,Non-NATO,fighter_aircraft,0
Yemen,Middle East,Asia,Non-NATO,fighter_aircraft,27
New Zealand,Asia-Pacific,Oceania,Non-NATO,fighter_aircraft,0
Paraguay,Latin America,South America,Non-NATO,fighter_aircraft,0
Lithuania,Northern Europe,Europe,NATO,fighter_aircraft,0
Mozambique,Africa,Africa,Non-NATO,fighter_aircraft,8
Tunisia,Africa,Africa,Non-NATO,fighter_aircraft,10
Armenia,Asia,Asia,Non-NATO,fighter_aircraft,4
Tanzania,Africa,Africa,Non-NATO,fighter_aircraft,14
Cameroon,Africa,Africa,Non-NATO,fighter_aircraft,0
Georgia,Asia,Asia,Non-NATO,fighter_aircraft,0
Cambodia,Southeast Asia,Asia,Non-NATO,fighter_aircraft,0
Slovenia,Balkans,Europe,NATO,fighter_aircraft,0
Ireland,Northern Europe,Europe,Non-NATO,fighter_aircraft,0
Mongolia,Asia-Pacific,Asia,Non-NATO,fighter_aircraft,0
Latvia,Northern Europe,Europe,NATO,fighter_aircraft,0
Uruguay,Latin America,South America,Non-NATO,fighter_aircraft,0
Honduras,Central America,North America,Non-NATO,fighter_aircraft,4
Ivory Coast,Africa,Africa,Non-NATO,fighter_aircraft,0
Guatemala,Central America,North America,Non-NATO,fighter_aircraft,0
Mali,Africa,Africa,Non-NATO,fighter_aircraft,9
Kyrgyzstan,Asia,Asia,Non-NATO,fighter_aircraft,0
Laos,Southeast Asia,Asia,Non-NATO,fighter_aircraft,0
Estonia,Northern Europe,Europe,NATO,fighter_aircraft,0
Tajikistan,Asia,Asia,Non-NATO,fighter_aircraft,0
Zambia,Africa,Africa,Non-NATO,fighter_aircraft,0
Ghana,Africa,Africa,Non-NATO,fighter_aircraft,0
Zimbabwe,Africa,Africa,Non-NATO,fighter_aircraft,13
North Macedonia,Balkans,Europe,Non-NATO,fighter_aircraft,0
South Sudan,Africa,Africa,Non-NATO,fighter_aircraft,0
Uganda,Africa,Africa,Non-NATO,fighter_aircraft,6
Lebanon,Middle East,Asia,Non-NATO,fighter_aircraft,0
Namibia,Africa,Africa,Non-NATO,fighter_aircraft,11
Luxembourg,Western Europe,Europe,NATO,fighter_aircraft,0
Afghanistan,Asia,Asia,Non-NATO,fighter_aircraft,0
Niger,Africa,Africa,Non-NATO,fighter_aircraft,0
Eritrea,Africa,Africa,Non-NATO,fighter_aircraft,1
Republic of the Congo,Africa,Africa,Non-NATO,fighter_aircraft,2
Botswana,Africa,Africa,Non-NATO,fighter_aircraft,11
Mauritania,Africa,Africa,Non-NATO,fighter_aircraft,0
Dominican Republic,Central America,North America,Non-NATO,fighter_aircraft,0
Senegal,Africa,Africa,Non-NATO,fighter_aircraft,0
Nepal,Asia-Pacific,Asia,Non-NATO,fighter_aircraft,0
Montenegro,Balkans,Europe,NATO,fighter_aircraft,0
El Salvador,Central America,North America,Non-NATO,fighter_aircraft,0
Burkina Faso,Africa,Africa,Non-NATO,fighter_aircraft,0
Madagascar,Africa,Africa,Non-NATO,fighter_aircraft,0
Nicaragua,Central America,North America,Non-NATO,fighter_aircraft,0
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,fighter_aircraft,0
Gabon,Africa,Africa,Non-NATO,fighter_aircraft,6
Moldova,Eastern Europe,Europe,Non-NATO,fighter_aircraft,0
Iceland,Scandinavia,Europe,NATO,fighter_aircraft,0
Panama,Central America,North America,Non-NATO,fighter_aircraft,0
Beliz,Central America,North America,Non-NATO,fighter_aircraft,0
Liberia,Africa,Africa,Non-NATO,fighter_aircraft,0
Suriname,Northern South America,South America,Non-NATO,fighter_aircraft,0
Sierra Leone,Africa,Africa,Non-NATO,fighter_aircraft,0
Kosovo,Southern Europe,Europe,Non-NATO,fighter_aircraft,0
Somalia,Africa,Africa,Non-NATO,fighter_aircraft,0
Central African Republic,Africa,Africa,Non-NATO,fighter_aircraft,0
Benin,Africa,Africa,Non-NATO,fighter_aircraft,0
Bhutan,Asia,Asia,Non-NATO,fighter_aircraft,0
United States,Northern America,North America,NATO,attack_aircraft,889
Russia,Eastern Europe,Europe,Non-NATO,attack_aircraft,689
China,Asia-Pacific,Asia,Non-NATO,attack_aircraft,371
India,Asia-Pacific,Asia,Non-NATO,attack_aircraft,130
South Korea,Asia-Pacific,Asia,Non-NATO,attack_aircraft,98
United Kingdom,Northern Europe,Europe,NATO,attack_aircraft,31
France,Western Europe,Europe,NATO,attack_aircraft,0
Japan,Asia-Pacific,Asia,Non-NATO,attack_aircraft,38
Turkiye,Middle East,Asia,NATO,attack_aircraft,0
Italy,Southern Europe,Europe,NATO,attack_aircraft,67
Brazil,Latin America,South America,Non-NATO,attack_aircraft,38
Pakistan,Asia-Pacific,Asia,Non-NATO,attack_aircraft,90
Indonesia,Southeast Asia,Asia,Non-NATO,attack_aircraft,34
Germany,Central Europe,Europe,NATO,attack_aircraft,63
Israel,Middle East,Asia,Non-NATO,attack_aircraft,38
Iran,Middle East,Asia,Non-NATO,attack_aircraft,21
Spain,Southern Europe,Europe,NATO,attack_aircraft,12
Australia,Asia-Pacific,Oceania,Non-NATO,attack_aircraft,62
Egypt,Africa,Africa,Non-NATO,attack_aircraft,90
Ukraine,Eastern Europe,Europe,Non-NATO,attack_aircraft,36
Poland,Eastern Europe,Europe,NATO,attack_aircraft,44
Taiwan,Asia-Pacific,Asia,Non-NATO,attack_aircraft,0
Vietnam,Southeast Asia,Asia,Non-NATO,attack_aircraft,32
Saudi Arabia,Middle East,Asia,Non-NATO,attack_aircraft,81
Thailand,Southeast Asia,Asia,Non-NATO,attack_aircraft,20
Algeria,Africa,Africa,Non-NATO,attack_aircraft,42
Sweden,Scandinavia,Europe,NATO,attack_aircraft,0
Canada,Northern America,North America,NATO,attack_aircraft,0
Singapore,Southeast Asia,Asia,Non-NATO,attack_aircraft,0
Greece,Southern Europe,Europe,NATO,attack_aircraft,0
Nigeria,Africa,Africa,Non-NATO,attack_aircraft,24
Mexico,Mexico,North America,Non-NATO,attack_aircraft,33
Argentina,Latin America,South America,Non-NATO,attack_aircraft,11
North Korea,Asia-Pacific,Asia,Non-NATO,attack_aircraft,114
Bangladesh,Asia-Pacific,Asia,Non-NATO,attack_aircraft,0
Netherlands,Western Europe,Europe,NATO,attack_aircraft,0
Myanmar,Southeast Asia,Asia,Non-NATO,attack_aircraft,26
Norway,Scandinavia,Europe,NATO,attack_aircraft,32
Portugal,Southern Europe,Europe,NATO,attack_aircraft,0
South Africa,Africa,Africa,Non-NATO,attack_aircraft,0
Philippines,Southeast Asia,Asia,Non-NATO,attack_aircraft,25
Malaysia,Southeast Asia,Asia,Non-NATO,attack_aircraft,12
Iraq,Middle East,Asia,Non-NATO,attack_aircraft,36
Switzerland,Central Europe,Europe,Non-NATO,attack_aircraft,0
Denmark,Scandinavia,Europe,NATO,attack_aircraft,4
Colombia,Latin America,South America,Non-NATO,attack_aircraft,24
Chile,Latin America,South America,Non-NATO,attack_aircraft,0
Finland,Scandinavia,Europe,NATO,attack_aircraft,0
Peru,Latin America,South America,Non-NATO,attack_aircraft,22
Venezuela,Latin America,South America,Non-NATO,attack_aircraft,0
Romania,Eastern Europe,Europe,Non-NATO,attack_aircraft,0
Ethiopia,Africa,Africa,Non-NATO,attack_aircraft,0
Czechia,Eastern Europe,Europe,NATO,attack_aircraft,16
United Arab Emirates,Middle East,Asia,Non-NATO,attack_aircraft,16
Hungary,Eastern Europe,Europe,NATO,attack_aircraft,0
Angola,Africa,Africa,Non-NATO,attack_aircraft,12
Kazakhstan,Asia,Asia,Non-NATO,attack_aircraft,25
Uzbekistan,Asia,Asia,Non-NATO,attack_aircraft,13
Morocco,Africa,Africa,Non-NATO,attack_aircraft,0
Azerbaijan,Asia,Asia,Non-NATO,attack_aircraft,18
Belgium,Western Europe,Europe,NATO,attack_aircraft,0
Bulgaria,Eastern Europe,Europe,NATO,attack_aircraft,5
Serbia,Balkans,Europe,Non-NATO,attack_aircraft,17
Syria,Middle East,Asia,Non-NATO,attack_aircraft,9
Ecuador,Latin America,South America,Non-NATO,attack_aircraft,0
Democratic Republic of the Congo,Africa,Africa,Non-NATO,attack_aircraft,6
Cuba,Central America,North America,Non-NATO,attack_aircraft,0
Austria,Central Europe,Europe,Non-NATO,attack_aircraft,0
Sri Lanka,Asia-Pacific,Asia,Non-NATO,attack_aircraft,0
Belarus,Eastern Europe,Europe,Non-NATO,attack_aircraft,50
Slovakia,Eastern Europe,Europe,NATO,attack_aircraft,0
Qatar,Middle East,Asia,Non-NATO,attack_aircraft,6
Sudan,Africa,Africa,Non-NATO,attack_aircraft,27
Croatia,Balkans,Europe,NATO,attack_aircraft,0
Jordan,Middle East,Asia,Non-NATO,attack_aircraft,6
Libya,Africa,Africa,Non-NATO,attack_aircraft,1
Turkmenistan,Asia,Asia,Non-NATO,attack_aircraft,27
Albania,Balkans,Europe,NATO,attack_aircraft,0
Kuwait,Gulf Powers,Asia,Non-NATO,attack_aircraft,0
Bolivia,Latin America,South America,Non-NATO,attack_aircraft,0
Bahrain,Gulf Powers,Asia,Non-NATO,attack_aircraft,0
Oman,Gulf Powers,Asia,Non-NATO,attack_aircraft,10
Kenya,Africa,Africa,Non-NATO,attack_aircraft,0
Chad,Africa,Africa,Non-NATO,attack_aircraft,7
Yemen,Middle East,Asia,Non-NATO,attack_aircraft,12
New Zealand,Asia-Pacific,Oceania,Non-NATO,attack_aircraft,0
Paraguay,Latin America,South America,Non-NATO,attack_aircraft,0
Lithuania,Northern Europe,Europe,NATO,attack_aircraft,0
Mozambique,Africa,Africa,Non-NATO,attack_aircraft,0
Tunisia,Africa,Africa,Non-NATO,attack_aircraft,0
Armenia,Asia,Asia,Non-NATO,attack_aircraft,15
Tanzania,Africa,Africa,Non-NATO,attack_aircraft,0
Cameroon,Africa,Africa,Non-NATO,attack_aircraft,0
Georgia,Asia,Asia,Non-NATO,attack_aircraft,5
Cambodia,Southeast Asia,Asia,Non-NATO,attack_aircraft,0
Slovenia,Balkans,Europe,NATO,attack_aircraft,0
Ireland,Northern Europe,Europe,Non-NATO,attack_aircraft,0
Mongolia,Asia-Pacific,Asia,Non-NATO,attack_aircraft,0
Latvia,Northern Europe,Europe,NATO,attack_aircraft,0
Uruguay,Latin America,South America,Non-NATO,attack_aircraft,6
Honduras,Central America,North America,Non-NATO,attack_aircraft,7
Ivory Coast,Africa,Africa,Non-NATO,attack_aircraft,0
Guatemala,Central America,North America,Non-NATO,attack_aircraft,4
Mali,Africa,Africa,Non-NATO,attack_aircraft,12
Kyrgyzstan,Asia,Asia,Non-NATO,attack_aircraft,0
Laos,Southeast Asia,Asia,Non-NATO,attack_aircraft,0
Estonia,Northern Europe,Europe,NATO,attack_aircraft,0
Tajikistan,Asia,Asia,Non-NATO,attack_aircraft,0
Zambia,Africa,Africa,Non-NATO,attack_aircraft,0
Ghana,Africa,Africa,Non-NATO,attack_aircraft,0
Zimbabwe,Africa,Africa,Non-NATO,attack_aircraft,0
North Macedonia,Balkans,Europe,Non-NATO,attack_aircraft,0
South Sudan,Africa,Africa,Non-NATO,attack_aircraft,0
Uganda,Africa,Africa,Non-NATO,attack_aircraft,0
Lebanon,Middle East,Asia,Non-NATO,attack_aircraft,9
Namibia,Africa,Africa,Non-NATO,attack_aircraft,0
Luxembourg,Western Europe,Europe,NATO,attack_aircraft,0
Afghanistan,Asia,Asia,Non-NATO,attack_aircraft,0
Niger,Africa,Africa,Non-NATO,attack_aircraft,2
Eritrea,Africa,Africa,Non-NATO,attack_aircraft,0
Republic of the Congo,Africa,Africa,Non-NATO,attack_aircraft,0
Botswana,Africa,Africa,Non-NATO,attack_aircraft,0
Mauritania,Africa,Africa,Non-NATO,attack_aircraft,4
Dominican Republic,Central America,North America,Non-NATO,attack_aircraft,8
Senegal,Africa,Africa,Non-NATO,attack_aircraft,0
Nepal,Asia-Pacific,Asia,Non-NATO,attack_aircraft,0
Montenegro,Balkans,Europe,NATO,attack_aircraft,0
El Salvador,Central America,North America,Non-NATO,attack_aircraft,15
Burkina Faso,Africa,Africa,Non-NATO,attack_aircraft,3
Madagascar,Africa,Africa,Non-NATO,attack_aircraft,0
Nicaragua,Central America,North America,Non-NATO,attack_aircraft,0
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,attack_aircraft,0
Gabon,Africa,Africa,Non-NATO,attack_aircraft,0
Moldova,Eastern Europe,Europe,Non-NATO,attack_aircraft,0
Iceland,Scandinavia,Europe,NATO,attack_aircraft,0
Panama,Central America,North America,Non-NATO,attack_aircraft,0
Beliz,Central America,North America,Non-NATO,attack_aircraft,0
Liberia,Africa,Africa,Non-NATO,attack_aircraft,0
Suriname,Northern South America,South America,Non-NATO,attack_aircraft,0
Sierra Leone,Africa,Africa,Non-NATO,attack_aircraft,0
Kosovo,Southern Europe,Europe,Non-NATO,attack_aircraft,0
Somalia,Africa,Africa,Non-NATO,attack_aircraft,0
Central African Republic,Africa,Africa,Non-NATO,attack_aircraft,6
Benin,Africa,Africa,Non-NATO,attack_aircraft,0
Bhutan,Asia,Asia,Non-NATO,attack_aircraft,0
United States,Northern America,North America,NATO,transport_aircraft,918
Russia,Eastern Europe,Europe,Non-NATO,transport_aircraft,456
China,Asia-Pacific,Asia,Non-NATO,transport_aircraft,289
India,Asia-Pacific,Asia,Non-NATO,transport_aircraft,270
South Korea,Asia-Pacific,Asia,Non-NATO,transport_aircraft,41
United Kingdom,Northern Europe,Europe,NATO,transport_aircraft,29
France,Western Europe,Europe,NATO,transport_aircraft,119
Japan,Asia-Pacific,Asia,Non-NATO,transport_aircraft,55
Turkiye,Middle East,Asia,NATO,transport_aircraft,84
Italy,Southern Europe,Europe,NATO,transport_aircraft,30
Brazil,Latin America,South America,Non-NATO,transport_aircraft,109
Pakistan,Asia-Pacific,Asia,Non-NATO,transport_aircraft,64
Indonesia,Southeast Asia,Asia,Non-NATO,transport_aircraft,70
Germany,Central Europe,Europe,NATO,transport_aircraft,50
Israel,Middle East,Asia,Non-NATO,transport_aircraft,13
Iran,Middle East,Asia,Non-NATO,transport_aircraft,87
Spain,Southern Europe,Europe,NATO,transport_aircraft,51
Australia,Asia-Pacific,Oceania,Non-NATO,transport_aircraft,38
Egypt,Africa,Africa,Non-NATO,transport_aircraft,61
Ukraine,Eastern Europe,Europe,Non-NATO,transport_aircraft,24
Poland,Eastern Europe,Europe,NATO,transport_aircraft,49
Taiwan,Asia-Pacific,Asia,Non-NATO,transport_aircraft,19
Vietnam,Southeast Asia,Asia,Non-NATO,transport_aircraft,9
Saudi Arabia,Middle East,Asia,Non-NATO,transport_aircraft,49
Thailand,Southeast Asia,Asia,Non-NATO,transport_aircraft,54
Algeria,Africa,Africa,Non-NATO,transport_aircraft,63
Sweden,Scandinavia,Europe,NATO,transport_aircraft,6
Canada,Northern America,North America,NATO,transport_aircraft,28
Singapore,Southeast Asia,Asia,Non-NATO,transport_aircraft,9
Greece,Southern Europe,Europe,NATO,transport_aircraft,15
Nigeria,Africa,Africa,Non-NATO,transport_aircraft,23
Mexico,Mexico,North America,Non-NATO,transport_aircraft,41
Argentina,Latin America,South America,Non-NATO,transport_aircraft,52
North Korea,Asia-Pacific,Asia,Non-NATO,transport_aircraft,1
Bangladesh,Asia-Pacific,Asia,Non-NATO,transport_aircraft,17
Netherlands,Western Europe,Europe,NATO,transport_aircraft,4
Myanmar,Southeast Asia,Asia,Non-NATO,transport_aircraft,30
Norway,Scandinavia,Europe,NATO,transport_aircraft,4
Portugal,Southern Europe,Europe,NATO,transport_aircraft,19
South Africa,Africa,Africa,Non-NATO,transport_aircraft,12
Philippines,Southeast Asia,Asia,Non-NATO,transport_aircraft,26
Malaysia,Southeast Asia,Asia,Non-NATO,transport_aircraft,16
Iraq,Middle East,Asia,Non-NATO,transport_aircraft,15
Switzerland,Central Europe,Europe,Non-NATO,transport_aircraft,16
Denmark,Scandinavia,Europe,NATO,transport_aircraft,4
Colombia,Latin America,South America,Non-NATO,transport_aircraft,86
Chile,Latin America,South America,Non-NATO,transport_aircraft,32
Finland,Scandinavia,Europe,NATO,transport_aircraft,11
Peru,Latin America,South America,Non-NATO,transport_aircraft,38
Venezuela,Latin America,South America,Non-NATO,transport_aircraft,49
Romania,Eastern Europe,Europe,Non-NATO,transport_aircraft,14
Ethiopia,Africa,Africa,Non-NATO,transport_aircraft,8
Czechia,Eastern Europe,Europe,NATO,transport_aircraft,10
United Arab Emirates,Middle East,Asia,Non-NATO,transport_aircraft,37
Hungary,Eastern Europe,Europe,NATO,transport_aircraft,3
Angola,Africa,Africa,Non-NATO,transport_aircraft,31
Kazakhstan,Asia,Asia,Non-NATO,transport_aircraft,19
Uzbekistan,Asia,Asia,Non-NATO,transport_aircraft,13
Morocco,Africa,Africa,Non-NATO,transport_aircraft,31
Azerbaijan,Asia,Asia,Non-NATO,transport_aircraft,3
Belgium,Western Europe,Europe,NATO,transport_aircraft,7
Bulgaria,Eastern Europe,Europe,NATO,transport_aircraft,6
Serbia,Balkans,Europe,Non-NATO,transport_aircraft,3
Syria,Middle East,Asia,Non-NATO,transport_aircraft,3
Ecuador,Latin America,South America,Non-NATO,transport_aircraft,20
Democratic Republic of the Congo,Africa,Africa,Non-NATO,transport_aircraft,6
Cuba,Central America,North America,Non-NATO,transport_aircraft,4
Austria,Central Europe,Europe,Non-NATO,transport_aircraft,11
Sri Lanka,Asia-Pacific,Asia,Non-NATO,transport_aircraft,14
Belarus,Eastern Europe,Europe,Non-NATO,transport_aircraft,4
Slovakia,Eastern Europe,Europe,NATO,transport_aircraft,7
Qatar,Middle East,Asia,Non-NATO,transport_aircraft,12
Sudan,Africa,Africa,Non-NATO,transport_aircraft,13
Croatia,Balkans,Europe,NATO,transport_aircraft,0
Jordan,Middle East,Asia,Non-NATO,transport_aircraft,13
Libya,Africa,Africa,Non-NATO,transport_aircraft,6
Turkmenistan,Asia,Asia,Non-NATO,transport_aircraft,5
Albania,Balkans,Europe,NATO,transport_aircraft,0
Kuwait,Gulf Powers,Asia,Non-NATO,transport_aircraft,2
Bolivia,Latin America,South America,Non-NATO,transport_aircraft,15
Bahrain,Gulf Powers,Asia,Non-NATO,transport_aircraft,3
Oman,Gulf Powers,Asia,Non-NATO,transport_aircraft,9
Kenya,Africa,Africa,Non-NATO,transport_aircraft,21
Chad,Africa,Africa,Non-NATO,transport_aircraft,7
Yemen,Middle East,Asia,Non-NATO,transport_aircraft,2
New Zealand,Asia-Pacific,Oceania,Non-NATO,transport_aircraft,8
Paraguay,Latin America,South America,Non-NATO,transport_aircraft,11
Lithuania,Northern Europe,Europe,NATO,transport_aircraft,5
Mozambique,Africa,Africa,Non-NATO,transport_aircraft,4
Tunisia,Africa,Africa,Non-NATO,transport_aircraft,11
Armenia,Asia,Asia,Non-NATO,transport_aircraft,3
Tanzania,Africa,Africa,Non-NATO,transport_aircraft,6
Cameroon,Africa,Africa,Non-NATO,transport_aircraft,6
Georgia,Asia,Asia,Non-NATO,transport_aircraft,2
Cambodia,Southeast Asia,Asia,Non-NATO,transport_aircraft,4
Slovenia,Balkans,Europe,NATO,transport_aircraft,4
Ireland,Northern Europe,Europe,Non-NATO,transport_aircraft,4
Mongolia,Asia-Pacific,Asia,Non-NATO,transport_aircraft,3
Latvia,Northern Europe,Europe,NATO,transport_aircraft,0
Uruguay,Latin America,South America,Non-NATO,transport_aircraft,6
Honduras,Central America,North America,Non-NATO,transport_aircraft,10
Ivory Coast,Africa,Africa,Non-NATO,transport_aircraft,4
Guatemala,Central America,North America,Non-NATO,transport_aircraft,10
Mali,Africa,Africa,Non-NATO,transport_aircraft,7
Kyrgyzstan,Asia,Asia,Non-NATO,transport_aircraft,0
Laos,Southeast Asia,Asia,Non-NATO,transport_aircraft,2
Estonia,Northern Europe,Europe,NATO,transport_aircraft,2
Tajikistan,Asia,Asia,Non-NATO,transport_aircraft,1
Zambia,Africa,Africa,Non-NATO,transport_aircraft,13
Ghana,Africa,Africa,Non-NATO,transport_aircraft,2
Zimbabwe,Africa,Africa,Non-NATO,transport_aircraft,14
North Macedonia,Balkans,Europe,Non-NATO,transport_aircraft,0
South Sudan,Africa,Africa,Non-NATO,transport_aircraft,5
Uganda,Africa,Africa,Non-NATO,transport_aircraft,0
Lebanon,Middle East,Asia,Non-NATO,transport_aircraft,0
Namibia,Africa,Africa,Non-NATO,transport_aircraft,3
Luxembourg,Western Europe,Europe,NATO,transport_aircraft,1
Afghanistan,Asia,Asia,Non-NATO,transport_aircraft,3
Niger,Africa,Africa,Non-NATO,transport_aircraft,7
Eritrea,Africa,Africa,Non-NATO,transport_aircraft,5
Republic of the Congo,Africa,Africa,Non-NATO,transport_aircraft,4
Botswana,Africa,Africa,Non-NATO,transport_aircraft,9
Mauritania,Africa,Africa,Non-NATO,transport_aircraft,7
Dominican Republic,Central America,North America,Non-NATO,transport_aircraft,11
Senegal,Africa,Africa,Non-NATO,transport_aircraft,5
Nepal,Asia-Pacific,Asia,Non-NATO,transport_aircraft,5
Montenegro,Balkans,Europe,NATO,transport_aircraft,0
El Salvador,Central America,North America,Non-NATO,transport_aircraft,4
Burkina Faso,Africa,Africa,Non-NATO,transport_aircraft,2
Madagascar,Africa,Africa,Non-NATO,transport_aircraft,0
Nicaragua,Central America,North America,Non-NATO,transport_aircraft,5
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,transport_aircraft,0
Gabon,Africa,Africa,Non-NATO,transport_aircraft,3
Moldova,Eastern Europe,Europe,Non-NATO,transport_aircraft,1
Iceland,Scandinavia,Europe,NATO,transport_aircraft,0
Panama,Central America,North America,Non-NATO,transport_aircraft,13
Beliz,Central America,North America,Non-NATO,transport_aircraft,1
Liberia,Africa,Africa,Non-NATO,transport_aircraft,0
Suriname,Northern South America,South America,Non-NATO,transport_aircraft,0
Sierra Leone,Africa,Africa,Non-NATO,transport_aircraft,0
Kosovo,Southern Europe,Europe,Non-NATO,transport_aircraft,0
Somalia,Africa,Africa,Non-NATO,transport_aircraft,0
Central African Republic,Africa,Africa,Non-NATO,transport_aircraft,0
Benin,Africa,Africa,Non-NATO,transport_aircraft,0
Bhutan,Asia,Asia,Non-NATO,transport_aircraft,0
United States,Northern America,North America,NATO,aircraft_total_trainers,2647
Russia,Eastern Europe,Europe,Non-NATO,aircraft_total_trainers,611
China,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,402
India,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,351
South Korea,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,318
United Kingdom,Northern Europe,Europe,NATO,aircraft_total_trainers,203
France,Western Europe,Europe,NATO,aircraft_total_trainers,141
Japan,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,401
Turkiye,Middle East,Asia,NATO,aircraft_total_trainers,287
Italy,Southern Europe,Europe,NATO,aircraft_total_trainers,162
Brazil,Latin America,South America,Non-NATO,aircraft_total_trainers,133
Pakistan,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,565
Indonesia,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,112
Germany,Central Europe,Europe,NATO,aircraft_total_trainers,35
Israel,Middle East,Asia,Non-NATO,aircraft_total_trainers,159
Iran,Middle East,Asia,Non-NATO,aircraft_total_trainers,103
Spain,Southern Europe,Europe,NATO,aircraft_total_trainers,140
Australia,Asia-Pacific,Oceania,Non-NATO,aircraft_total_trainers,98
Egypt,Africa,Africa,Non-NATO,aircraft_total_trainers,345
Ukraine,Eastern Europe,Europe,Non-NATO,aircraft_total_trainers,73
Poland,Eastern Europe,Europe,NATO,aircraft_total_trainers,105
Taiwan,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,232
Vietnam,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,60
Saudi Arabia,Middle East,Asia,Non-NATO,aircraft_total_trainers,202
Thailand,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,135
Algeria,Africa,Africa,Non-NATO,aircraft_total_trainers,87
Sweden,Scandinavia,Europe,NATO,aircraft_total_trainers,33
Canada,Northern America,North America,NATO,aircraft_total_trainers,95
Singapore,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,36
Greece,Southern Europe,Europe,NATO,aircraft_total_trainers,81
Nigeria,Africa,Africa,Non-NATO,aircraft_total_trainers,28
Mexico,Mexico,North America,Non-NATO,aircraft_total_trainers,176
Argentina,Latin America,South America,Non-NATO,aircraft_total_trainers,71
North Korea,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,173
Bangladesh,Asia-Pacific,Asia,Non-NATO,aircraft_total_trainers,86
Netherlands,Western Europe,Europe,NATO,aircraft_total_trainers,21
Myanmar,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,119
Norway,Scandinavia,Europe,NATO,aircraft_total_trainers,23
Portugal,Southern Europe,Europe,NATO,aircraft_total_trainers,23
South Africa,Africa,Africa,Non-NATO,aircraft_total_trainers,81
Philippines,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,23
Malaysia,Southeast Asia,Asia,Non-NATO,aircraft_total_trainers,31
Iraq,Middle East,Asia,Non-NATO,aircraft_total_trainers,139
Switzerland,Central Europe,Europe,Non-NATO,aircraft_total_trainers,44
Denmark,Scandinavia,Europe,NATO,aircraft_total_trainers,41
Colombia,Latin America,South America,Non-NATO,aircraft_total_trainers,72
Chile,Latin America,South America,Non-NATO,aircraft_total_trainers,92
Finland,Scandinavia,Europe,NATO,aircraft_total_trainers,77
Peru,Latin America,South America,Non-NATO,aircraft_total_trainers,72
Venezuela,Latin America,South America,Non-NATO,aircraft_total_trainers,75
Romania,Eastern Europe,Europe,Non-NATO,aircraft_total_trainers,44
Ethiopia,Africa,Africa,Non-NATO,aircraft_total_trainers,34
Czechia,Eastern Europe,Europe,NATO,aircraft_total_trainers,17
United Arab Emirates,Middle East,Asia,Non-NATO,aircraft_total_trainers,147
Hungary,Eastern Europe,Europe,NATO,aircraft_total_trainers,12
Angola,Africa,Africa,Non-NATO,aircraft_total_trainers,66
Kazakhstan,Asia,Asia,Non-NATO,aircraft_total_trainers,26
Uzbekistan,Asia,Asia,Non-NATO,aircraft_total_trainers,7
Morocco,Africa,Africa,Non-NATO,aircraft_total_trainers,75
Azerbaijan,Asia,Asia,Non-NATO,aircraft_total_trainers,35
Belgium,Western Europe,Europe,NATO,aircraft_total_trainers,38
Bulgaria,Eastern Europe,Europe,NATO,aircraft_total_trainers,21
Serbia,Balkans,Europe,Non-NATO,aircraft_total_trainers,33
Syria,Middle East,Asia,Non-NATO,aircraft_total_trainers,15
Ecuador,Latin America,South America,Non-NATO,aircraft_total_trainers,34
Democratic Republic of the Congo,Africa,Africa,Non-NATO,aircraft_total_trainers,1
Cuba,Central America,North America,Non-NATO,aircraft_total_trainers,3
