Country,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage,Capital,Captal Population,power_index_rank
Kosovo,1977093,917371,743387,17794,10000,5000,500,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							260715150,$                        							2750000000,$                        							23794000000,$                        							1245000000,4,500300,0,"437                        						
							km","2012                        						
							km","0                        						
							bbl","15000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","9074000                        						
							Cu.M","8927000                        						
							mt","1564000000                        						
							Cu.M","10887                        						
							km","0                        						
							km","714                        						
							km","0                        						
							km",Porto-Novo,"285,000",141
Latvia,1801246,810561,648449,16211,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,,0,0,0,0,0,0,11,6,$                        							1138000000,$                        							44180400000,$                        							71154000000,$                        							4957000000,56,978000,5,"2216                        						
							km","70244                        						
							km","2000                        						
							bbl","35000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","828214000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","20000                        						
							mt","0                        						
							Cu.M","64589                        						
							km","498                        						
							km","1370                        						
							km","300                        						
							km",Gaborone,"272,000",99
Bahrain,1566888,846120,720768,17236,18400,110000,1500,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,,0,0,0,0,2,2,50,0,$                        							1597200000,$                        							49500000000,$                        							85491000000,$                        							5118000000,3,855000,4,"0                        						
							km","4122                        						
							km","189000                        						
							bbl","72000                        						
							bbl","186500000                        						
							bbl","18005000000                        						
							Cu.M","17924000000                        						
							Cu.M","81382000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","760                        						
							km","161                        						
							km","0                        						
							km","0                        						
							km",Paramaribo,"239,000",81
Estonia,1193791,584958,456028,13132,7700,78800,10000,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,,0,0,0,0,0,0,4,4,$                        							1463360000,$                        							26400000000,$                        							57377000000,$                        							2593000000,26,752000,20,"1441                        						
							km","58412                        						
							km","24000                        						
							bbl","28000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","354912000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","3000                        						
							mt","0                        						
							Cu.M","45228                        						
							km","3794                        						
							km","657                        						
							km","335                        						
							km",Yamoussoukro,"231,000",107
Bhutan,884546,203446,122067,4423,7500,0,0,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							14000000,$                        							2757000000,$                        							10981000000,$                        							976260000,4,430000,0,"0                        						
							km","12205                        						
							km","0                        						
							bbl","3000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","177000                        						
							Cu.M","325000                        						
							mt","0                        						
							Cu.M","38394                        						
							km","0                        						
							km","1136                        						
							km","0                        						
							km",Pristina,"216,870",145
Luxembourg,671254,154388,92633,3356,1000,0,0,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							726092925,$                        							4730000000000,$                        							88533000000,$                        							2977000000,3,352000,0,"271                        						
							km","2875                        						
							km","0                        						
							bbl","51000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","594240000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","62000                        						
							mt","0                        						
							Cu.M","2586                        						
							km","0                        						
							km","327                        						
							km","37                        						
							km",Reykjavik,"216,000",117
Suriname,646758,142287,84079,3234,2000,0,200,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,,0,0,0,0,0,0,17,0,$                        							144000000,$                        							2200000000,$                        							11824000000,$                        							1346000000,55,250000,4,"0                        						
							km","4304                        						
							km","14000                        						
							bbl","15000                        						
							bbl","89000000                        						
							bbl","7109000                        						
							Cu.M","6967000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","163820                        						
							km","386                        						
							km","1907                        						
							km","1200                        						
							km",Thimphu,"205,000",139
Montenegro,599849,143964,85179,3599,2350,0,5500,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,,0,0,0,0,0,0,2,0,$                        							148100000,$                        							2958500000,$                        							17115000000,$                        							1574000000,5,286000,4,"250                        						
							km","7762                        						
							km","0                        						
							bbl","8000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1734000                        						
							Cu.M","1517000                        						
							mt","337000000                        						
							Cu.M","13812                        						
							km","294                        						
							km","680                        						
							km","0                        						
							km",Podgorica,"177,000",127
Beliz,415789,158000,90226,8732,1650,850,0,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,,0,0,0,0,0,0,8,0,$                        							29538000,$                        							1248000000,$                        							5257000000,$                        							473729000,27,190000,2,"0                        						
							km","3281                        						
							km","800                        						
							bbl","5000                        						
							bbl","6700000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","22966                        						
							km","386                        						
							km","542                        						
							km","825                        						
							km",Luxembourg,"120,000",137
Iceland,364036,83728,50237,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							312400000,$                        							22000000000,$                        							26155000000,$                        							5809000000,83,239000,43,"0                        						
							km","12898                        						
							km","0                        						
							bbl","18000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","188000                        						
							mt","0                        						
							Cu.M","100250                        						
							km","4970                        						
							km","0                        						
							km","0                        						
							km",Belmopan,"25,000",135
